"Field","ID","Type (Type)","default","en-us","zh-cn","es-es","ja-jp","ko-kr","fr-fr","de-de","pt-br","ar-sa","hi-in","ru-ru"
"Description","2","Text","","WriteMelo is a focused writing workspace for composing and improving English.

Write letters, essays, messages, notes, and other drafts in a clean desktop editor. Use AI assistance to continue text, review grammar and clarity, polish wording, explain corrections, or simplify a passage.

You choose the AI service. Configure a compatible endpoint, your own API key, model ID, and supported protocol in Model Settings. WriteMelo does not include shared API credit or a bundled model subscription.

Highlights:
- AI completion, review, polishing, explanations, and simplification
- Local draft workspace
- Open and save TXT and Markdown files
- Interface available in 11 languages
- API keys protected on Windows with DPAPI
- No advertising or analytics

Drafts and settings remain in the current Windows user profile. Text submitted for an AI action is sent directly to the model provider you configure and is subject to that provider's terms and privacy practices.","WriteMelo 是一款专注于英文创作与修改的桌面写作工具。

你可以在简洁的编辑器中撰写信件、文章、消息、笔记和其他草稿，并使用 AI 续写、检查语法与表达、润色文字、解释修改原因或简化段落。

AI 服务由你选择。你可以在“模型设置”中配置兼容的服务地址、自己的 API Key、模型 ID 和受支持的协议。WriteMelo 不提供共享 API 额度，也不捆绑模型订阅。

主要功能：
- AI 续写、检查、润色、解释与简化
- 本地草稿工作区
- 打开和保存 TXT、Markdown 文件
- 界面支持 11 种语言
- 使用 Windows DPAPI 保护 API Key
- 无广告、无分析追踪

草稿和设置保存在当前 Windows 用户配置文件中。仅当你主动使用 AI 功能时，相关文本才会直接发送到你配置的模型服务商，并受该服务商的条款和隐私政策约束。","WriteMelo es un espacio de escritura centrado en redactar y mejorar textos en inglés.

Escribe cartas, ensayos, mensajes, notas y otros borradores. Usa la IA para continuar el texto, revisar la gramática y la claridad, pulir la redacción, explicar correcciones o simplificar un fragmento.

Tú eliges el servicio de IA. Configura un endpoint compatible, tu propia clave API, el ID del modelo y un protocolo admitido. La aplicación no incluye créditos API compartidos ni una suscripción a modelos.

Funciones principales:
- Completar, revisar, pulir, explicar y simplificar con IA
- Borradores locales
- Abrir y guardar archivos TXT y Markdown
- Interfaz en 11 idiomas
- Claves API protegidas con Windows DPAPI
- Sin publicidad ni analítica

Los borradores y ajustes permanecen en el perfil del usuario actual de Windows. El texto usado en una acción de IA se envía directamente al proveedor configurado y queda sujeto a sus términos y política de privacidad.","WriteMelo は、英語の文章作成と改善に集中できるデスクトップワークスペースです。

手紙、エッセイ、メッセージ、メモなどをシンプルなエディターで作成できます。AI による文章の続き、文法と明瞭さの確認、表現の推敲、修正理由の説明、文章の簡略化を利用できます。

AI サービスは自分で選択します。互換エンドポイント、自分の API キー、モデル ID、対応プロトコルを設定してください。本アプリに共有 API クレジットやモデルのサブスクリプションは含まれません。

主な機能:
- AI による補完、確認、推敲、説明、簡略化
- ローカルの下書き
- TXT と Markdown ファイルの読み書き
- 11 言語のインターフェイス
- Windows DPAPI による API キー保護
- 広告、分析なし

下書きと設定は現在の Windows ユーザープロファイル内に保存されます。AI 操作に使用した文章は、設定したモデル提供元に直接送信され、その提供元の規約とプライバシーポリシーが適用されます。","WriteMelo는 영어 글을 작성하고 개선하는 데 집중할 수 있는 데스크톱 작업 공간입니다.

깔끔한 편집기에서 편지, 에세이, 메시지, 메모와 기타 초안을 작성하세요. AI로 문장을 이어 쓰고, 문법과 명확성을 검토하고, 표현을 다듬고, 수정 사항을 설명하거나 문장을 간결하게 만들 수 있습니다.

AI 서비스는 사용자가 선택합니다. 호환 엔드포인트, 자신의 API 키, 모델 ID와 지원 프로토콜을 설정하세요. 공유 API 크레딧이나 모델 구독은 포함되지 않습니다.

주요 기능:
- AI 이어 쓰기, 검토, 다듬기, 설명 및 단순화
- 로컬 초안 작업 공간
- TXT 및 Markdown 파일 열기와 저장
- 11개 언어 인터페이스
- Windows DPAPI로 API 키 보호
- 광고 및 분석 없음

초안과 설정은 현재 Windows 사용자 프로필에 저장됩니다. AI 작업에 사용한 텍스트는 설정한 모델 제공업체로 직접 전송되며 해당 제공업체의 약관과 개인정보 처리방침이 적용됩니다.","WriteMelo est un espace de travail consacré à la rédaction et à l'amélioration de textes en anglais.

Rédigez lettres, essais, messages, notes et autres brouillons dans un éditeur épuré. Utilisez l'IA pour poursuivre un texte, vérifier la grammaire et la clarté, améliorer le style, expliquer des corrections ou simplifier un passage.

Vous choisissez le service d'IA. Configurez un endpoint compatible, votre propre clé API, l'identifiant du modèle et un protocole pris en charge. Aucun crédit API partagé ni abonnement à un modèle n'est inclus.

Fonctions principales :
- Complétion, révision, amélioration, explication et simplification par IA
- Brouillons locaux
- Ouverture et enregistrement de fichiers TXT et Markdown
- Interface disponible en 11 langues
- Clés API protégées par Windows DPAPI
- Sans publicité ni analyse d'utilisation

Les brouillons et réglages restent dans le profil Windows actuel. Le texte utilisé pour une action d'IA est envoyé directement au fournisseur configuré et relève de ses conditions et de sa politique de confidentialité.","WriteMelo ist ein übersichtlicher Arbeitsbereich zum Verfassen und Verbessern englischer Texte.

Schreiben Sie Briefe, Aufsätze, Nachrichten, Notizen und andere Entwürfe. Nutzen Sie KI, um Texte fortzusetzen, Grammatik und Verständlichkeit zu prüfen, Formulierungen zu verbessern, Korrekturen zu erklären oder Passagen zu vereinfachen.

Sie wählen den KI-Dienst. Konfigurieren Sie einen kompatiblen Endpunkt, Ihren eigenen API-Schlüssel, die Modell-ID und ein unterstütztes Protokoll. Gemeinsames API-Guthaben oder ein Modellabonnement sind nicht enthalten.

Funktionen:
- KI-Vervollständigung, Prüfung, Überarbeitung, Erklärung und Vereinfachung
- Lokale Entwürfe
- TXT- und Markdown-Dateien öffnen und speichern
- Benutzeroberfläche in 11 Sprachen
- API-Schlüssel mit Windows DPAPI geschützt
- Keine Werbung oder Analyse

Entwürfe und Einstellungen bleiben im aktuellen Windows-Benutzerprofil. Für eine KI-Aktion verwendeter Text wird direkt an den konfigurierten Anbieter gesendet und unterliegt dessen Bedingungen und Datenschutzrichtlinie.","WriteMelo é um espaço de trabalho focado em escrever e melhorar textos em inglês.

Escreva cartas, redações, mensagens, notas e outros rascunhos em um editor simples. Use IA para continuar o texto, revisar gramática e clareza, aprimorar a redação, explicar correções ou simplificar um trecho.

Você escolhe o serviço de IA. Configure um endpoint compatível, sua própria chave de API, o ID do modelo e um protocolo aceito. O aplicativo não inclui créditos de API compartilhados nem assinatura de modelos.

Principais recursos:
- Conclusão, revisão, aprimoramento, explicação e simplificação com IA
- Rascunhos locais
- Abrir e salvar arquivos TXT e Markdown
- Interface em 11 idiomas
- Chaves de API protegidas pelo Windows DPAPI
- Sem anúncios ou análise de uso

Rascunhos e configurações permanecem no perfil atual do Windows. O texto usado em uma ação de IA é enviado diretamente ao provedor configurado e está sujeito aos termos e à política de privacidade desse provedor.","WriteMelo مساحة كتابة مكتبية مخصصة لإنشاء النصوص الإنجليزية وتحسينها.

اكتب الرسائل والمقالات والملاحظات والمسودات الأخرى في محرر واضح. استخدم الذكاء الاصطناعي لمتابعة النص ومراجعة القواعد والوضوح وتحسين الصياغة وشرح التصحيحات أو تبسيط فقرة.

أنت تختار خدمة الذكاء الاصطناعي. اضبط نقطة نهاية متوافقة ومفتاح API الخاص بك ومعرّف النموذج وبروتوكولاً مدعوماً. لا يتضمن التطبيق رصيد API مشتركاً أو اشتراكاً في نموذج.

أبرز الميزات:
- الإكمال والمراجعة والتحسين والشرح والتبسيط بالذكاء الاصطناعي
- مسودات محلية
- فتح ملفات TXT وMarkdown وحفظها
- واجهة متاحة بـ 11 لغة
- حماية مفاتيح API بواسطة Windows DPAPI
- بلا إعلانات أو تحليلات

تبقى المسودات والإعدادات في ملف تعريف مستخدم Windows الحالي. يُرسل النص المستخدم في إجراء ذكاء اصطناعي مباشرة إلى موفر النموذج الذي تضبطه ويخضع لشروطه وممارسات الخصوصية لديه.","WriteMelo अंग्रेज़ी लिखने और उसे बेहतर बनाने के लिए एक केंद्रित डेस्कटॉप कार्यक्षेत्र है।

साफ़-सुथरे संपादक में पत्र, निबंध, संदेश, नोट और अन्य ड्राफ़्ट लिखें। टेक्स्ट आगे बढ़ाने, व्याकरण और स्पष्टता जाँचने, भाषा सुधारने, सुधार समझाने या अनुच्छेद सरल बनाने के लिए AI का उपयोग करें।

AI सेवा आप चुनते हैं। संगत एंडपॉइंट, अपनी API कुंजी, मॉडल ID और समर्थित प्रोटोकॉल सेट करें। ऐप में साझा API क्रेडिट या मॉडल सदस्यता शामिल नहीं है।

मुख्य सुविधाएँ:
- AI पूर्णता, समीक्षा, सुधार, व्याख्या और सरलीकरण
- स्थानीय ड्राफ़्ट
- TXT और Markdown फ़ाइलें खोलना और सहेजना
- 11 भाषाओं में इंटरफ़ेस
- Windows DPAPI से API कुंजी की सुरक्षा
- कोई विज्ञापन या एनालिटिक्स नहीं

ड्राफ़्ट और सेटिंग वर्तमान Windows उपयोगकर्ता प्रोफ़ाइल में रहते हैं। AI कार्रवाई के लिए इस्तेमाल टेक्स्ट सीधे आपके चुने मॉडल प्रदाता को भेजा जाता है और उस प्रदाता की शर्तों तथा गोपनीयता नीति के अधीन होता है।","WriteMelo — рабочее пространство для написания и улучшения текстов на английском языке.

Пишите письма, эссе, сообщения, заметки и другие черновики в удобном редакторе. Используйте ИИ, чтобы продолжить текст, проверить грамматику и ясность, улучшить формулировки, объяснить исправления или упростить фрагмент.

Сервис ИИ выбираете вы. Укажите совместимую конечную точку, свой ключ API, идентификатор модели и поддерживаемый протокол. Общие кредиты API и подписка на модель не предоставляются.

Основные возможности:
- Дополнение, проверка, улучшение, объяснение и упрощение с помощью ИИ
- Локальные черновики
- Открытие и сохранение TXT и Markdown
- Интерфейс на 11 языках
- Защита ключей API с помощью Windows DPAPI
- Без рекламы и аналитики

Черновики и настройки остаются в профиле текущего пользователя Windows. Текст для операции ИИ отправляется напрямую выбранному поставщику модели и регулируется его условиями и политикой конфиденциальности."
"ReleaseNotes","3","Text","","Initial Microsoft Store release. Includes the writing workspace, local drafts, TXT/Markdown file support, 11 interface languages, and bring-your-own-key model configuration.","Microsoft Store 首个版本。包含写作工作区、本地草稿、TXT/Markdown 文件支持、11 种界面语言和自带 API Key 的模型配置。","Primera versión para Microsoft Store, con editor, borradores locales, archivos TXT/Markdown, 11 idiomas y configuración de modelos con tu propia clave API.","Microsoft Store 初回リリース。ライティングワークスペース、ローカル下書き、TXT/Markdown、11 言語、自分の API キーによるモデル設定を搭載。","Microsoft Store 첫 릴리스입니다. 글쓰기 작업 공간, 로컬 초안, TXT/Markdown, 11개 언어와 개인 API 키 모델 설정을 포함합니다.","Première version Microsoft Store : espace de rédaction, brouillons locaux, fichiers TXT/Markdown, 11 langues et configuration de modèle avec votre propre clé API.","Erste Microsoft Store-Version mit Schreibbereich, lokalen Entwürfen, TXT/Markdown, 11 Sprachen und Modellkonfiguration mit eigenem API-Schlüssel.","Primeira versão na Microsoft Store, com área de escrita, rascunhos locais, TXT/Markdown, 11 idiomas e configuração de modelo com sua própria chave de API.","الإصدار الأول في Microsoft Store، ويشمل مساحة الكتابة والمسودات المحلية وملفات TXT وMarkdown و11 لغة وإعداد النموذج بمفتاح API الخاص بك.","पहला Microsoft Store रिलीज़। इसमें लेखन कार्यक्षेत्र, स्थानीय ड्राफ़्ट, TXT/Markdown, 11 भाषाएँ और अपनी API कुंजी से मॉडल कॉन्फ़िगरेशन शामिल हैं।","Первый выпуск в Microsoft Store: редактор, локальные черновики, TXT/Markdown, 11 языков и настройка модели с собственным ключом API."
"Title","4","Text","","WriteMelo","写美了","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo"
"ShortTitle","5","Text","","WriteMelo","写美了","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo"
"SortTitle","6","Text","","WriteMelo","写美了","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo","WriteMelo"
"VoiceTitle","7","Text","","","","","","","","","","","",""
"ShortDescription","8","Text","","AI-assisted English writing with your own compatible model API.","使用你自己的兼容模型 API 辅助英文写作。","Escritura en inglés con IA usando tu propia API de modelo compatible.","自分の互換モデル API を使って英語ライティングを AI で支援。","자신의 호환 모델 API를 사용하는 AI 영어 글쓰기 도구.","Aide à l'écriture en anglais avec votre propre API de modèle compatible.","KI-gestütztes Schreiben auf Englisch mit Ihrer eigenen kompatiblen Modell-API.","Escrita em inglês com IA usando sua própria API de modelo compatível.","مساعدة ذكية للكتابة بالإنجليزية باستخدام واجهة نموذج متوافقة خاصة بك.","अपने संगत मॉडल API से AI-सहायता प्राप्त अंग्रेज़ी लेखन।","Помощь ИИ в английском письме с вашим совместимым API модели."
"DevStudio","9","Text","","","","","","","","","","","",""
"CopyrightTrademarkInformation","12","Text","","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy","Copyright (c) 2026 Lucyy"
"AdditionalLicenseTerms","13","Text","","","","","","","","","","","",""
